year,city,avg_temp
1796,Indore,24.71
1797,Indore,25.92
1798,Indore,23.95
1799,Indore,24.99
1800,Indore,24.94
1801,Indore,23.86
1802,Indore,25.41
1803,Indore,25.17
1804,Indore,25.51
1805,Indore,25.06
1806,Indore,24.96
1807,Indore,24.36
1808,Indore,
1809,Indore,
1810,Indore,
1811,Indore,
1812,Indore,
1813,Indore,24.30
1814,Indore,23.50
1815,Indore,23.84
1816,Indore,23.44
1817,Indore,23.62
1818,Indore,24.04
1819,Indore,23.71
1820,Indore,23.89
1821,Indore,24.55
1822,Indore,24.61
1823,Indore,24.48
1824,Indore,25.08
1825,Indore,24.83
1826,Indore,24.89
1827,Indore,25.00
1828,Indore,24.65
1829,Indore,24.47
1830,Indore,24.71
1831,Indore,24.26
1832,Indore,24.42
1833,Indore,24.58
1834,Indore,24.58
1835,Indore,23.72
1836,Indore,24.27
1837,Indore,24.20
1838,Indore,24.22
1839,Indore,24.30
1840,Indore,24.45
1841,Indore,24.21
1842,Indore,24.47
1843,Indore,24.32
1844,Indore,24.10
1845,Indore,24.38
1846,Indore,24.91
1847,Indore,24.38
1848,Indore,24.32
1849,Indore,24.28
1850,Indore,24.54
1851,Indore,24.48
1852,Indore,24.42
1853,Indore,24.67
1854,Indore,24.79
1855,Indore,24.81
1856,Indore,23.61
1857,Indore,23.99
1858,Indore,24.60
1859,Indore,24.70
1860,Indore,24.44
1861,Indore,24.34
1862,Indore,19.60
1863,Indore,
1864,Indore,
1865,Indore,24.80
1866,Indore,24.85
1867,Indore,24.92
1868,Indore,24.72
1869,Indore,24.85
1870,Indore,24.58
1871,Indore,24.61
1872,Indore,24.63
1873,Indore,24.72
1874,Indore,24.71
1875,Indore,24.94
1876,Indore,24.82
1877,Indore,25.07
1878,Indore,25.39
1879,Indore,24.54
1880,Indore,25.06
1881,Indore,24.57
1882,Indore,24.49
1883,Indore,24.24
1884,Indore,24.03
1885,Indore,24.27
1886,Indore,24.69
1887,Indore,24.40
1888,Indore,24.63
1889,Indore,24.98
1890,Indore,24.89
1891,Indore,24.49
1892,Indore,25.08
1893,Indore,23.65
1894,Indore,24.59
1895,Indore,24.93
1896,Indore,25.64
1897,Indore,25.29
1898,Indore,25.28
1899,Indore,25.64
1900,Indore,25.54
1901,Indore,25.25
1902,Indore,25.65
1903,Indore,24.64
1904,Indore,24.86
1905,Indore,24.72
1906,Indore,24.70
1907,Indore,24.82
1908,Indore,24.61
1909,Indore,24.61
1910,Indore,24.43
1911,Indore,25.11
1912,Indore,25.17
1913,Indore,24.83
1914,Indore,25.04
1915,Indore,25.51
1916,Indore,24.82
1917,Indore,23.79
1918,Indore,25.03
1919,Indore,24.80
1920,Indore,24.97
1921,Indore,25.53
1922,Indore,24.87
1923,Indore,25.01
1924,Indore,24.98
1925,Indore,24.82
1926,Indore,24.88
1927,Indore,24.49
1928,Indore,25.05
1929,Indore,25.07
1930,Indore,25.05
1931,Indore,25.39
1932,Indore,25.18
1933,Indore,24.55
1934,Indore,24.67
1935,Indore,24.51
1936,Indore,24.68
1937,Indore,24.64
1938,Indore,24.92
1939,Indore,24.99
1940,Indore,24.84
1941,Indore,25.80
1942,Indore,25.09
1943,Indore,24.85
1944,Indore,24.73
1945,Indore,24.38
1946,Indore,25.15
1947,Indore,25.15
1948,Indore,25.29
1949,Indore,25.42
1950,Indore,24.59
1951,Indore,25.37
1952,Indore,25.60
1953,Indore,25.73
1954,Indore,25.22
1955,Indore,24.91
1956,Indore,24.82
1957,Indore,25.05
1958,Indore,25.72
1959,Indore,25.23
1960,Indore,25.25
1961,Indore,24.71
1962,Indore,24.90
1963,Indore,25.19
1964,Indore,25.06
1965,Indore,25.36
1966,Indore,25.51
1967,Indore,24.88
1968,Indore,24.74
1969,Indore,25.60
1970,Indore,25.01
1971,Indore,24.51
1972,Indore,25.26
1973,Indore,25.26
1974,Indore,25.32
1975,Indore,24.74
1976,Indore,25.41
1977,Indore,25.41
1978,Indore,25.05
1979,Indore,25.56
1980,Indore,25.68
1981,Indore,25.34
1982,Indore,25.22
1983,Indore,24.69
1984,Indore,25.09
1985,Indore,25.53
1986,Indore,25.34
1987,Indore,26.02
1988,Indore,25.89
1989,Indore,25.28
1990,Indore,25.16
1991,Indore,25.40
1992,Indore,25.41
1993,Indore,25.50
1994,Indore,25.01
1995,Indore,25.50
1996,Indore,25.55
1997,Indore,24.77
1998,Indore,25.87
1999,Indore,25.50
2000,Indore,25.62
2001,Indore,25.59
2002,Indore,26.15
2003,Indore,25.82
2004,Indore,25.98
2005,Indore,25.40
2006,Indore,25.78
2007,Indore,25.66
2008,Indore,25.30
2009,Indore,26.41
2010,Indore,26.31
2011,Indore,25.45
2012,Indore,25.39
2013,Indore,25.94
